#gwasCatalog.chrom,gwasCatalog.chromStart,gwasCatalog.chromEnd,gwasCatalog.name,gwasCatalog.pubMedID,gwasCatalog.author,gwasCatalog.pubDate,gwasCatalog.journal,gwasCatalog.title,gwasCatalog.trait,gwasCatalog.initSample,gwasCatalog.replSample,gwasCatalog.region,gwasCatalog.genes,gwasCatalog.riskAllele,gwasCatalog.riskAlFreq,gwasCatalog.pValue,gwasCatalog.pValueDesc,gwasCatalog.orOrBeta,gwasCatalog.ci95,gwasCatalog.platform,gwasCatalog.cnv
chr16,357799,357800,rs7206329,31669095,Zhu Z,2019-10-24,J Allergy Clin Immunol,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Body mass index,"457,822 European ancestry individuals",,16p13.3,NR,rs7206329-?,NR,5E-14,"",,"",Affymetrix [~ 8270000] (imputed),N
chr16,2039004,2039005,rs3211995,34594039,Sakaue S,2021-09-30,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,Body mass index,"359,983 European ancestry individuals, 163,835 East Asian ancestry individuals",,16p13.3,"",rs3211995-A,NR,4E-8,"",0.0176,[0.011-0.024] unit decrease,"Affymetrix, Illumina [20538802] (imputed)",N
chr16,2047156,2047157,rs2516739,30595370,Kichaev G,2018-12-27,Am J Hum Genet,Leveraging Polygenic Functional Enrichment to Improve GWAS Power.,Body mass index,"approximately 458,000 European ancestry individuals",,16p13.3,"",rs2516739-?,NR,2E-11,"",,"",NR [~ 8900000] (imputed),N
chr16,2120526,2120527,rs13330552,31669095,Zhu Z,2019-10-24,J Allergy Clin Immunol,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Body mass index,"457,822 European ancestry individuals",,16p13.3,NR,rs13330552-?,NR,2E-8,"",,"",Affymetrix [~ 8270000] (imputed),N
chr16,2128423,2128424,rs116353685,34594039,Sakaue S,2021-09-30,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,Weight,"360,116 European ancestry individuals, 165,419 East Asian ancestry individuals",,16p13.3,"",rs116353685-C,NR,2E-25,"",0.0282,[0.023-0.033] unit decrease,"Affymetrix, Illumina [20539548] (imputed)",N
chr16,2217875,2217876,rs27345,28552196,Tachmazidou I,2017-06-01,Am J Hum Genet,Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.,Weight,"1,249 whole genome sequenced European ancestry individuals, 3,559 whole genome sequenced individuals, 46,819 European ancestry individuals, 472 Carlantino (founder/genetic isolate) individuals, 1,172 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,051 Mylopotamos (founder/genetic isolate) individuals, 942 Pomak (founder/genetic isolate) individuals, 1,779 Val Borbera (founder/genetic isolate) individuals","179,022 European ancestry individuals",16p13.3,PGP,rs27345-A,0.2906,3E-6,"",0.0341,[0.02-0.048] unit increase,"Affymetrix, Illumina, Perlegen [15844966] (imputed)",N
chr16,2737060,2737061,rs181179291,30239722,Pulit SL,2018-09-14,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",Body mass index,"806,834 European ancestry individuals",,16p13.3,,rs181179291-A,0.9895,5E-12,"",0.0658,[0.047-0.084] unit decrease,NR [~ 27400000] (imputed),N
chr16,2747159,2747160,rs117549504,31669095,Zhu Z,2019-10-24,J Allergy Clin Immunol,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Body mass index,"457,822 European ancestry individuals",,16p13.3,NR,rs117549504-?,NR,5E-12,"",,"",Affymetrix [~ 8270000] (imputed),N
chr16,2747159,2747160,rs117549504,30595370,Kichaev G,2018-12-27,Am J Hum Genet,Leveraging Polygenic Functional Enrichment to Improve GWAS Power.,Body mass index,"approximately 458,000 European ancestry individuals",,16p13.3,"",rs117549504-?,NR,4E-12,"",,"",NR [~ 8900000] (imputed),N
chr16,2766625,2766626,rs117133016,34210852,Akbari P,2021-07-01,Science,"Sequencing of 640,000 exomes identifies <i>GPR75</i> variants associated with protection from obesity.",Body mass index,"549,780 European ancestry individuals, 95,846 admixed American ancestry individuals",,16p13.3,"",rs117133016-?,NR,3E-11,"",0.06,[0.07-0.04] unit increase,Illumina [NR],N
chr16,3533172,3533173,rs3751837,31669095,Zhu Z,2019-10-24,J Allergy Clin Immunol,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Body mass index,"457,822 European ancestry individuals",,16p13.3,NR,rs3751837-?,NR,7E-11,"",,"",Affymetrix [~ 8270000] (imputed),N
chr16,3533172,3533173,rs3751837,30595370,Kichaev G,2018-12-27,Am J Hum Genet,Leveraging Polygenic Functional Enrichment to Improve GWAS Power.,Body mass index,"approximately 458,000 European ancestry individuals",,16p13.3,"",rs3751837-?,NR,4E-11,"",,"",NR [~ 8900000] (imputed),N
chr16,3549654,3549655,rs12448257,30239722,Pulit SL,2018-09-14,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",Body mass index,"806,834 European ancestry individuals",,16p13.3,,rs12448257-A,0.2185,9E-16,"",0.0161,[0.012-0.02] unit increase,NR [~ 27400000] (imputed),N
chr16,3549654,3549655,rs12448257,30239722,Pulit SL,2018-09-14,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",Body mass index,"374,756 European ancestry male individuals",,16p13.3,,rs12448257-A,0.2185,9E-16,"",0.0161,[0.012-0.02] unit increase,NR [~ 27400000] (imputed),N
chr16,3577356,3577357,rs758747,30108127,Hoffmann TJ,2018-08-14,Genetics,A Large Multi-ethnic Genome-Wide Association Study of Adult Body Mass Index Identifies Novel Loci.,Body mass index,"315,347 European ancestry individuals, 8,322 Hispanic/Latino individuals, 7,290 East Asian ancestry individuals, 3,069 African American individuals, 459 South Asian ancestry individuals","431,743 European ancestry individuals, 9,275 South Asian ancestry individuals, 8,261 African British individuals, 1,822 East Asian ancestry individuals, 7,620 individuals",16p13.3,NR,rs758747-C,NR,2E-9,"",0.018,[NR] unit decrease,Affymetrix [at least 28613428] (imputed),N
chr16,3577356,3577357,rs758747,26426971,Winkler TW,2015-10-01,PLoS Genet,The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.,Body mass index,"up to 309,889 European ancestry individuals",,16p13.3,NR,rs758747-T,0.2658971403345,2E-7,"",0.01722961,unit increase,"Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)",N
chr16,3577356,3577357,rs758747,25673413,Locke AE,2015-02-12,Nature,Genetic studies of body mass index yield new insights for obesity biology.,Body mass index,"up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals","up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals",16p13.3,NLRC3,rs758747-T,0.28,2E-10,"",0.023,[0.016-0.029] kg/m2 increase,"Affymetrix, Illumina [2550021]",N
chr16,3577356,3577357,rs758747,25673413,Locke AE,2015-02-12,Nature,Genetic studies of body mass index yield new insights for obesity biology.,Body mass index,"up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals","up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals",16p13.3,NLRC3,rs758747-T,0.265,7E-10,(EA),0.023,[0.015-0.03] kg/m2 increase,"Affymetrix, Illumina [2550021]",N
chr16,3577356,3577357,rs758747,25673413,Locke AE,2015-02-12,Nature,Genetic studies of body mass index yield new insights for obesity biology.,Body mass index,"up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals","up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals",16p13.3,NLRC3,rs758747-T,0.264,8E-8,"(EA, men)",0.026,[0.016-0.035] kg/m2 increase,"Affymetrix, Illumina [2550021]",N
chr16,3657745,3657746,rs1053874,29273807,Turcot V,2017-12-22,Nat Genet,Protein-altering variants associated with body mass index implicate pathways that control energy intake and expenditure in obesity.,Body mass index,"up to 449,889 European ancestry individuals, up to 29,398 South Asian ancestry individuals, up to 27,610 African American individuals, up to 8,839 East Asian individuals, up to 10,772 Hispanic ancestry individuals","up to 196,766 European ancestry individuals",16p13.3,DNASE1,rs1053874-A,0.3229,5E-10,"",0.012,[0.0083-0.0157] unit increase,Illumina [246328],N
chr16,3956161,3956162,rs62036940,31669095,Zhu Z,2019-10-24,J Allergy Clin Immunol,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Body mass index,"457,822 European ancestry individuals",,16p13.3,NR,rs62036940-?,NR,1E-10,"",,"",Affymetrix [~ 8270000] (imputed),N
chr16,3963465,3963466,rs2531995,31217584,Wojcik GL,2019-06-19,Nature,Genetic analyses of diverse populations improves discovery for complex traits.,Body mass index,"17,127 African American individuals, 21,955 Hispanic/Latino individuals, 4,647 Asian ancestry individuals, 3,936 Native Hawaiian ancestry individuals, 645 Native American ancestry individuals, 1,025 individuals",,16p13.3,NR,rs2531995-?,NR,5E-9,"",0.04006278,[0.027-0.053] unit increase,Illumina [32062178] (imputed),N
chr16,3963465,3963466,rs2531995,28552196,Tachmazidou I,2017-06-01,Am J Hum Genet,Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.,Weight,"1,249 whole genome sequenced European ancestry individuals, 3,559 whole genome sequenced individuals, 46,819 European ancestry individuals, 472 Carlantino (founder/genetic isolate) individuals, 1,172 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,051 Mylopotamos (founder/genetic isolate) individuals, 942 Pomak (founder/genetic isolate) individuals, 1,779 Val Borbera (founder/genetic isolate) individuals","179,022 European ancestry individuals",16p13.3,ADCY9,rs2531995-T,0.6156,1E-8,"",0.037,[0.024-0.05] unit increase,"Affymetrix, Illumina, Perlegen [15844966] (imputed)",N
chr16,3963465,3963466,rs2531995,28552196,Tachmazidou I,2017-06-01,Am J Hum Genet,Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.,Body mass index,"1,249 whole genome sequenced European ancestry individuals, 3,538 whole genome sequenced individuals, 46,635 European ancestry individuals, 472 Carlantino (founder/genetic isolate) individuals, 1,170 Friuli Venezia Giulia (founder/genetic isolate) individuals, 1,019 Mylopotamos (founder/genetic isolate) individuals, 932 Pomak (founder/genetic isolate) individuals, 1,778 Val Borbera (founder/genetic isolate) individuals","209,191 European ancestry individuals",16p13.3,ADCY9,rs2531995-T,0.6156,6E-7,"",0.0326,[0.02-0.045] unit increase,"Affymetrix, Illumina, Perlegen [15844966] (imputed)",N
chr16,3963465,3963466,rs2531995,28448500,Graff M,2017-04-27,PLoS Genet,"Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.",Body mass index,"2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals","6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men",16p13.3,ADCY9,rs2531995-T,0.6114,5E-7,"(EA, women)",0.0284,[0.017-0.039] kg/m2 increase,"Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)",N
chr16,3963465,3963466,rs2531995,28448500,Graff M,2017-04-27,PLoS Genet,"Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.",Body mass index,"2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals","6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men",16p13.3,ADCY9,rs2531995-T,0.6114,1E-6,"(EA, men)",0.0342,[0.02-0.048] kg/m2 increase,"Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)",N
chr16,3963465,3963466,rs2531995,28448500,Graff M,2017-04-27,PLoS Genet,"Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.",Body mass index,"2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals","6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men",16p13.3,ADCY9,rs2531995-T,0.6114,1E-11,(EA),0.0311,[0.022-0.04] kg/m2 increase,"Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)",N
chr16,3963465,3963466,rs2531995,28448500,Graff M,2017-04-27,PLoS Genet,"Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.",Body mass index,"2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals","6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men",16p13.3,ADCY9,rs2531995-T,0.5972,2E-11,"",0.0291,[0.02-0.038] kg/m2 increase,"Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)",N
chr16,3963465,3963466,rs2531995,28448500,Graff M,2017-04-27,PLoS Genet,"Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.",Body mass index,"2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals","6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men",16p13.3,ADCY9,rs2531995-T,0.5972,1E-6,(women),0.0269,[0.016-0.038] kg/m2 increase,"Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)",N
chr16,3963465,3963466,rs2531995,28448500,Graff M,2017-04-27,PLoS Genet,"Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.",Body mass index,"2,518 African American women, 86,278 European ancestry women, 1,773 Filipino ancestry women, 1,030 Indian ancestry women, 1,457 African American men, 55,137 European ancestry men, 7,648 Indian ancestry men, 5,527 European ancestry individuals","6,244 African American women, 17,531 European ancestry women, 329 African American men, 19,956 European ancestry men",16p13.3,ADCY9,rs2531995-T,0.5972,1E-6,(men),0.0316,[0.019-0.044] kg/m2 increase,"Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)",N
chr16,3963465,3963466,rs2531995,26426971,Winkler TW,2015-10-01,PLoS Genet,The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.,Body mass index,"up to 309,889 European ancestry individuals",,16p13.3,NR,rs2531995-T,0.615629723953184,9E-15,"",0.024907207,unit increase,"Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)",N
chr16,3963465,3963466,rs2531995,24861553,Wen W,2014-05-26,Hum Mol Genet,Meta-analysis of genome-wide association studies in East Asian-ancestry populations identifies four new loci for body mass index.,Body mass index,"82,438 East Asian ancestry individuals, 4,301 South East Asian ancestry individuals","Up to 47,352 East Asian ancestry individuals",16p13.3,ADCY9,rs2531995-T,0.33,7E-8,"",0.0315,[0.02-0.043] unit increase,"Affymetrix, Illumina [~ 2500000] (imputed)",N
chr16,3964280,3964281,rs2238435,30595370,Kichaev G,2018-12-27,Am J Hum Genet,Leveraging Polygenic Functional Enrichment to Improve GWAS Power.,Body mass index,"approximately 458,000 European ancestry individuals",,16p13.3,"",rs2238435-?,NR,2E-31,"",,"",NR [~ 8900000] (imputed),N
chr16,3965727,3965728,rs879620,34594039,Sakaue S,2021-09-30,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,Weight,"360,116 European ancestry individuals, 165,419 East Asian ancestry individuals",,16p13.3,"",rs879620-T,NR,8E-45,"",0.024,[0.021-0.027] unit increase,"Affymetrix, Illumina [20539548] (imputed)",N
chr16,3965727,3965728,rs879620,34594039,Sakaue S,2021-09-30,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,Weight,"165,419 East Asian ancestry individuals",,16p13.3,"",rs879620-T,0.331472,1E-14,"",0.0222189,[0.017-0.028] unit increase,Illumina [13479924] (imputed),N
chr16,3965727,3965728,rs879620,34594039,Sakaue S,2021-09-30,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,Body mass index,"359,983 European ancestry individuals, 163,835 East Asian ancestry individuals",,16p13.3,"",rs879620-T,NR,6E-35,"",0.0242,[0.02-0.028] unit increase,"Affymetrix, Illumina [20538802] (imputed)",N
chr16,3965727,3965728,rs879620,34594039,Sakaue S,2021-09-30,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,Body mass index,"163,835 East Asian ancestry individuals",,16p13.3,"",rs879620-T,0.331553,6E-12,"",0.0232161,[0.017-0.03] unit increase,Illumina [13479178] (imputed),N
chr16,3965727,3965728,rs879620,30108127,Hoffmann TJ,2018-08-14,Genetics,A Large Multi-ethnic Genome-Wide Association Study of Adult Body Mass Index Identifies Novel Loci.,Body mass index,"315,347 European ancestry individuals, 8,322 Hispanic/Latino individuals, 7,290 East Asian ancestry individuals, 3,069 African American individuals, 459 South Asian ancestry individuals","431,743 European ancestry individuals, 9,275 South Asian ancestry individuals, 8,261 African British individuals, 1,822 East Asian ancestry individuals, 7,620 individuals",16p13.3,NR,rs879620-C,NR,4E-14,"",0.025,[NR] unit decrease,Affymetrix [at least 28613428] (imputed),N
chr16,3965727,3965728,rs879620,28892062,Akiyama M,2017-09-11,Nat Genet,Genome-wide association study identifies 112 new loci for body mass index in the Japanese population.,Body mass index,"up to 72,390 Japanese ancestry women, up to 85,894 Japanese ancestry men","up to 10,048 Japanese ancestry women, up to 5,098 Japanese ancestry men, up to 181,999 European ancestry women, up to 140,155 European ancestry controls",16p13.3,ADCY9,rs879620-T,0.62,9E-19,"",0.024,[0.018-0.03] unit increase,Illumina [6108953] (imputed),N
chr16,3970730,3970731,rs72762705,31669095,Zhu Z,2019-10-24,J Allergy Clin Immunol,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Body mass index,"457,822 European ancestry individuals",,16p13.3,NR,rs72762705-?,NR,1E-9,"",,"",Affymetrix [~ 8270000] (imputed),N
chr16,3972692,3972693,rs2540034,28892062,Akiyama M,2017-09-11,Nat Genet,Genome-wide association study identifies 112 new loci for body mass index in the Japanese population.,Body mass index,"up to 72,390 Japanese ancestry women, up to 85,894 Japanese ancestry men","up to 10,048 Japanese ancestry women, up to 5,098 Japanese ancestry men, up to 181,999 European ancestry women, up to 140,155 European ancestry controls",16p13.3,ADCY9,rs2540034-T,0.325,3E-12,(Japanese),0.028,[0.02-0.036] unit increase,Illumina [6108953] (imputed),N
chr16,3972701,3972702,rs7185966,30239722,Pulit SL,2018-09-14,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",Body mass index,"434,794 European ancestry female individuals",,16p13.3,,rs7185966-A,0.2394,2E-16,"",0.0184,[0.014-0.023] unit decrease,NR [~ 27400000] (imputed),N
chr16,3985066,3985067,rs2601777,30239722,Pulit SL,2018-09-14,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",Body mass index,"806,834 European ancestry individuals",,16p13.3,,rs2601777-A,0.386,3E-17,"",0.0143,[0.011-0.018] unit decrease,NR [~ 27400000] (imputed),N
chr16,3985066,3985067,rs2601777,30239722,Pulit SL,2018-09-14,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",Body mass index,"374,756 European ancestry male individuals",,16p13.3,,rs2601777-A,0.386,3E-17,"",0.0143,[0.011-0.018] unit decrease,NR [~ 27400000] (imputed),N
chr16,3988385,3988386,rs2444217,20935630,Speliotes EK,2010-10-10,Nat Genet,"Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.",Body mass index,"Up to 123,865 European ancestry individuals","Up to 125,931 European ancestry individuals",16p13.3,ADCY9,rs2444217-A,0.57,9E-8,"",,"","Affymetrix, Illumina, Perlegen [~ 2800000] (imputed)",N
chr16,3993173,3993174,rs2601791,31669095,Zhu Z,2019-10-24,J Allergy Clin Immunol,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Body mass index,"457,822 European ancestry individuals",,16p13.3,NR,rs2601791-?,NR,3E-17,"",,"",Affymetrix [~ 8270000] (imputed),N
chr16,4822968,4822969,rs2075466,30239722,Pulit SL,2018-09-14,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",Body mass index,"434,794 European ancestry female individuals",,16p13.3,,rs2075466-C,0.2739,2E-12,"",0.0136,[0.0099-0.0173] unit increase,NR [~ 27400000] (imputed),N
